Name of Company;Entity type;Address;Email;Site;phone_1;mobile_1
ГРАНД ЛОГИСТИКА;ООО; С-Петербург,   Измайловский пр-т,   дом 29 лит И,    помещение  офис 18-н  ;info@grandlog.ru;http://www.grandlog.ru;+78122400875;Not Data
ГермесТрансЛогистик;ООО; Новороссийск,   Леднева ул.,   дом 5,    помещение  офис 806  ;operations@gales-nvr.ru;Not Data;+&8617605954;Not Data
Газпромнефть-Снабжение;ООО; С-Петербург,   Малая Морская ул.,   дом 23,    помещение  ;gpns@gazprom-neft.ru;http://www.supply.gazprom-neft.ru;+78124480051;Not Data
Глобал Логистик;ООО; Рубцовск,   Ленина проспект,   дом 3,    помещение  134  ;info@glogist.ru;http://glogist.ru;+73833039981;Not Data
Гильдия экспедиторов;НП; Москва,   Новорязанская ул,   дом 12,    помещение  ;office@guildexp.ru;http://www.guildexp.ru;+74992620102;Not Data
Ди эЛ Икс;АО; С-Петербург,   Обводного канала наб.,   дом 199-201 лит. В,    помещение  2Н  ;d_diakov@d-lx.ru;http://www.d-lx.ru;+78126400285;Not Data
ДАКОТРАНС;ООО; Москва а/я 9,      помещение  ;info@dakotrans.ru;http://www.dakotrans.ru;+74957354356;Not Data
ДальСиб;ООО; Новосибирск,   Крылова ул.,   дом 36,    помещение  оф 520Б  ;ooodalsib@gmail.com;Not Data;+79147086035;+79147086035
Евросиб-Логистика;ООО; С-Петербург,   Мичуринская,   дом 4,    помещение  ;logistics@eurosib.biz;http://www.eurosib.biz;+78123268120;Not Data
Единая транспортная компания;ООО; С-Петербург,   Цветочная ул,   дом 18  лит Ж,    помещение  оф 16  ;vag@etk.biz;Not Data;+78127482277;Not Data
Евро-Марин;ООО; С-Петербург,   Канал Грибоедова  наб.,   дом 6/2 лит А,    помещение  39Н  ;info.eumarine@gmail.com;Not Data;+79817083005;+79817083005
Европейский серный терминал;ООО; С-Петербург,   6-я Красноармейская ул.,   дом 5-7 лит А,    помещение  ;info@estport.com;http://www.estport.com;+78123325712;Not Data
Европак-Юг;ООО; Новороссийск,   Энгельса ул.,   дом 7,    помещение  206  ;info@evropac.ru;http://www.evropac.ru;+78617301245;Not Data
ЕТО;ООО; Барнаул а/я 4050,      помещение  ;info@etorussia.pro;http://etorussia.pro;8-800-6005771;Not Data
Интертранс;ООО; С-Петербург,   Гансальская,   дом 1,   строение 2 литера О,   помещение  139 офис 502  ;intertrans@inter-trans.ru;http://www.inter-trans.ru;+78123242144;Not Data
Ист Глобал Лоджистик;ООО; Москва,   Можайский вал,   дом 8,    помещение  ;info@eastlogistics.ru;http://www.eastlogistics.ru;+74952322821;Not Data
Инфотек-Балтика М;АО; Москва,   Энтузиастов бул.,   дом 2,    помещение  27  ;info@infobm.ru;http://www.infobm.ru;+74997045953;Not Data
ОСАО Ингосстрах;Not data; Москва,   Пятницкая ул.,   дом 12,   строение 2,   помещение  ;ingos@ingos.ru;http://www.ingos.ru;+74959567777;Not Data
ИнтерТрансШип;ООО; С-Петербург, Колпино,   Анисимова ул.,   дом 10,    помещение  кв 95  ;info@inter.msk.ru;Not Data;+79111586076;+79111586076
ИНКОТЭК КАРГО;ООО; С-Петербург,   13 Линия В,О,,   дом 6-8 лит А,    помещение  оф 31  ;secretary@incotec-cargo.spb.ru;www/incotec-cargo.ru;+78126221320;Not Data
Интертранс;АО; Москва а/я 92,      помещение  ;mail@in-trans.ru;http://www.in-trans.ru;+74952622363;Not Data
Интер-Фрахт;ООО; С-Петербург,   Лиговский пр-т,   дом 50 лит Н,    помещение  ;transport@in-freight.spb.ru;Not Data;+78123368744;Not Data
Карго;ООО; Новороссийск,   Железнодорожная петля 2-й км,     помещение  ;info@cargo-n.ru;http://www.cargo-n,ru;+78617607322;Not Data
Континет;ООО; Орск,   Московская ул.,   дом 1,    помещение  1  ;krasnova-m@mail.ru;Not Data;+73537235849;Not Data
Компания Партнер Сибири;ООО; Новосибирск,      помещение  ;d.skobelev@partnersib.com;http://www.partnersib.net;+73833495634;Not Data
Кин-Марк-Логистик;ООО; Москва,   Кутузовский проспект,   дом 36,   строение 23,   помещение  509 офис  ;master@keenmark.com;http://www.keenmark.com;+74966465880;Not Data
Кройл;ООО; Краснояск,   Мира ул.,   дом 128,    помещение  140  ;kroil-logistic@mail.ru;Not Data;+73912680907;Not Data
Керри Проджект Лоджистик РУ;ООО; Москва,   Семеновская пл.,   дом 7,    помещение  III комн. 28  ;info.ru@kerrylogistics.com;http://www.kerrylogistics.com;+74951817903;Not Data
Керри Проджект Лоджистик РУ;ООО;Not data;Not data;Not Data;Not Data;Not Data
КЛС-Рейл;ООО; Хабаровск,   Промывочная ул.,   дом 1А,    помещение  ;s.kazak@cls-rail.com;Not Data;+79098020033;+79098020033
Кистоун Лоджистикс;ООО; С-Петербург,   Свердловская наб.,   дом 38,    корпус 2 лит Г,  помещение  ;secretary@keystone-logistics.com;http://www.keystone-logistics.com;+78126333003;Not Data
Кредо Транс;ООО; С-Петербург,   Маршала Говорова ул.,   дом 49 лит А,    помещение  офис 106.1  ;info@credotrans.ru;http://www.credotrans.ru;+78123093552;Not Data
КомплектСиб;ООО; Новосибирск а/я 380,      помещение  ;ashagieva@komplektsib.ru;http://www.komplektsib.ru;+73833670159;Not Data
ТГ Континент;ООО; Новосибирск,   Октябрьская магистраль,   дом 3,    помещение  500  ;office@tgknsk.ru;http://continent-sib.ru;+73833707070;Not Data
КВ Терминал;Not data; Химки,   Вашутинское шоссе,   дом 20,    корпус 1,  помещение  ;rvt@severtrans.ru;http://www.severtrans.ru;+74955028787;Not Data
Холдинговая компания Кама-Транс;ООО; Набережные Челны а/я 117,      помещение  ;tek_chelny@mail.ru;http://www.kamatrucks.ru;+78552534969;Not Data
Карго Сервис;ООО; Калиниград,   Портовая ул.,   дом 24,    помещение  ;carg0service@cargos.ru;Not Data;+74012692336;Not Data
Логберг-Транс;ООО; С-Петербург,   Дибуновская ул.,   дом 34,   строение 1,   помещение  11-Н  ;lv-@logberg.biz;http://www.logberg.ru;+78122079768;Not Data
ЛУКОЙЛ-Черноморье;АО; Новороссийск,   Наб. Адм. Серебрякова,   дом 23,    помещение  ;lukch.nvtlch.lukoil.com;Not Data;+78617787001;Not Data
ЛУКОЙЛ-Черноморье;АО; Новороссийск,   Наб. Адм. Серебрякова,   дом 23,    помещение  ;lukch.nvtlch.lukoil.com;Not Data;+78617787001;Not Data
Логистический сервис;ООО; Новороссийск,   Мысхакское ш.,   дом 50/32,    помещение  2 этаж  ;post@lcnovo.ru;http://www.contnovo.ru;+78617600071;Not Data
ЛТБ;ООО; Барнаул  а/я 3891,      помещение  ;info@ltb-company.ru;http://www.ltb-company.ru;+73852506288;Not Data
МаксЭкспресс;ООО; Москва,   Семеновская пл.,   дом 1А,    помещение  ;account@max.express.ru;http://www.max.express.ru;+74952553517;Not Data
Модуль;ООО; С-Петербург,   Малоохтинский пр.,     помещение  ;info@modul.global;http://www.modul.global;+78123039149;Not Data
Модультранс;ООО; Москва,   Верейская ул.,   дом 29,   строение 134,   помещение  1  ;info@modultrans.ru;http://www.modultrans.ru;+74956538545;Not Data
Морская экспедиторская компания;ООО; С-Петербург,   Межевой канал,   дом 5 лит АХ,    помещение  оф 607  ;petrov@mec.spb.ru;http://mec.spb.ru;+78123099388;Not Data
МАРИНКО;ООО; Новороссиск,   Пархоменко ул.,   дом 88 А,    помещение  ;info@marinco.com.ru;http://www.marinco.com.ru;+79887708585;+79887708585
М-ТРЭК;ООО; Москва,   Буденного пр-т,   дом 26,    корпус 2,  помещение  ;roman.gerasimov@mtrek.ru;Not Data;+74953650128;Not Data
Максима Логистик;ООО; Москва,   Семеновская пл.,   дом 1А,    помещение  ;info@max-log.ru;http://maxima-logistic.ru;+74959835958;Not Data
Морнефтеснаб;ООО; Пермь,   Максима Горького,   дом 76,    корпус 76,  помещение  ;info@mnsls.ru;Not Data;+79630167687;+79630167687
Мортранс;ООО; С-Петербург,   5-я Красноармейская  ул.,   дом 17,    помещение  а\/я 11  ;info@mortrans.ru;Http://www.mortrans.ru;+78123253773;Not Data
Межтранс-1;ООО; Москва,   Неженская ул.,   дом 8,    корпус 1,  помещение  XII  ;bbm@svnet.ru;Not Data;+74959389861;Not Data
Эм Си Лоджистикс Си-Ай-Эс;ООО; Москва,   Киевская ул.,   дом ?,    помещение  БЦ Легион  ;r.naboyshikov@mclogi.ru;http://www.mclogi.com;+74956428926;Not Data
Новороссийский Припортовый Терминал;ООО; Новороссийск, Цемдолина п.,   Школьная,   дом 1а,    помещение  ;project@novpt.ru;http://www.novpt.ru;+78617672373;Not Data
Нева_Транспорт-Трейдинг;Not data; С-Петербург,   Гапсальская ул.,   дом 3,    помещение  408 оф.  ;nevatt@nevatt.ru;Not Data;+78123251615;Not Data
Ниппон Экспресс Рус;ООО; Москва,   2-я Хуторская ул.,   дом 38А,   строение 23,   помещение  ;svo@nexrus.ru;http://www.nipponexpress.ru;+74956096023;Not Data
Нью Вей Лоджистик;ООО; Владивосток,   Жигура ул,   дом 26 лит.А,    помещение  6-5  ;infor@newwaylogistic.ru;http://www.newwaylogistic.ru;+74232469555;Not Data
НафтаТранс;ООО; Москва,   Тихвинский пер.,   дом 11,   строение 2,   помещение  12  ;info@nafta-trans.ru;www.nafta-trans.com;+74952582759;Not Data
НХ Логистикс;ООО; Москва,   Скаковая ул.,   дом 36,   строение 3,   помещение  ;info@nh-logistics.com;http://www.nh-logistics.com;+74956697751;Not Data
НАВИНИЯ РУС;ООО; Москва,   Отрадная ул.,   дом 2Б,   строение 1,   помещение  ;info@nawinia.ru;"http;//www.nawinia.ru";+74951507502;Not Data
Национальная Логистическая Компания;ООО; Новороссийск  а/я 13,      помещение  ;info@nic-group.ru;http://www.nic.group.ru;+78632036508;Not Data
Морское агентство Новоторик;АО; Новороссийск,   Адмирала Серебрякова наб.,   дом 19,    помещение  ;torik.nvr@nvr.lukoil.com;Not Data;+78617787130;Not Data
НТД Сервис;ООО; Москва,   Спартаковская пл.,   дом 14,   строение 1,   помещение  ;service@ntd.ru;http://www.ntd.ru;+74991314466;Not Data
Орион-Эекспресс;ООО; Находка,   Портовая ул.,   дом 4,    помещение  ;a/polutckiy@orion-expressdv.ru;Not Data;+74236699146;Not Data
Ориент Экспресс;ООО; Владивосток,   Крыгина ул.,   дом 100,    помещение  ;kupra@orient.vntc.ru;http://oriexp.ru;+74232514444;Not Data
ПТС;Общество с ограниченной ответственностью; С-Петербург,   Межевой Канал,   дом 3,    корпус 2,  помещение  ;sea@porttransservice.ru;http://porttransservice.ru;+78123399790;Not Data
Профиль-Евро;ООО; Чашниково деревня,   Промышленная,    строение 1,   корпус 4,  помещение  ;profile@profile-euro.ru;http://www.profile-euro.ru;+74957999026;Not Data
Портовый Экспедитор;ООО; Новороссийск а/я 13,      помещение  ;forwarding@portforward.su;Not Data;+78617600075;Not Data
Панди Транс;ООО; Москва,   Новочеремушкинская,   дом 69,    помещение  1004 оф.  ;office@panditrans.com;http:www.panditrans.com;+74952152195;Not Data
Профит Транс;ООО; Владивосток,   Светланская ул.,   дом 66Б,    помещение  1  ;office@profit-trans.ru;http://www.profit-trans.ru;+78005517877;Not Data
РОВЕ ГРУПП;ООО; С-Петербург,   21 линия В.О.,   дом 6 лит А,    помещение  ?-Н коин 85  ;info@provegroup.ru;http://provegroup.ru;+78002223033;Not Data
ТЭК Портал;ООО; Ростов на Д ону,   Доблестный пер.,   дом 9,    помещение  офис 109  ;mail@portall-ufo.ru;Not Data;+79281092515;+79281092515
Победит Транс;ООО; Москва,   Солянка,   дом 1/2,   строение 1,   помещение  ;pt@pobedittrans.ru;http://www.pobedittrans.ru;+74952216735;Not Data
Полар Транс;ООО; Архангельск,   Победы ул.,   дом 68,    помещение  ;info@polartrans.ru;http://www.polartrans.ru;8-800-1008764;Not Data
ПРО-ЛОГ;ООО; Владивосток,   Стрельникова ул.,   дом 7,    помещение  офис 102  ;office@prlg.ru;http://www.prlg.ru;+74232791108;Not Data
ПСГ;ООО; Казань  а/я 72,      помещение  ;mail@psg.su;http://www.psg.su;+78435148866;Not Data
РЖД Логистика;АО; Москва,   М.Порываевой ул.,   дом 34 блок 1,    помещение  ;sales@rzdlog.ru;http://www.rzdlog.ru;+74959886868;Not Data
Русатом Карго;ООО; Москва,   Ленинский проспект,   дом 115А,    помещение  ;rusatom-cargo@rosatom.ru;http:www.rusatom-cargo.com;+74999492888;Not Data
РУСГРУЗ;ООО; Барнаул  а/я 1052,      помещение  ;office@rusgruz.ru;http://www.rusgruz.ru;+79069692372;+79069692372
Рустил Лоджистик;ООО; Владивосток,   Посьетская,   дом 45,    помещение  209  ;igor@rusteel-log.ru;http://www.rusteel.ru;+74232413026;Not Data
Рейлшип Сервис;ООО; Екатеринбург,   Юмашева ул.,   дом 5,    помещение  6  ;info@railship.ru;http://www.railship.ru;+73433815720;Not Data
Not data;Not data; С-Петербург,   Б.Самсониевский пр-т,   дом 64 лит Е,    помещение  оф. 81  ;vladimir@rglog.ru;http://rglog.ru;+79313309058;+79313309058
Русагротрансэкспедиция;ООО; Москва а/я 23,      помещение  ;putkov@ratex-msk.ru;http://www.rapa.ru;+74999753507;Not Data
Рейл Карго Логистикс-РУС;Not data;" Москва,   Варшавское шоссе,   дом 1,   строение 6;17,   помещение  оф В-402, А-424  ";info/rcl/ru@railcargo.com;http://railcargo.com;+74996826273;Not Data
РЖД Бизнес Актив;АО; Москва,   Ольховскаяя ул.,   дом 4,    корпус 2,  помещение  02  ;info@rzdba.ru;http://rzdba.ru;+74951618181;Not Data
РУССОТРА;ООО; Москва,   Сущевский Вал,   дом 9,   строение 1,   помещение  офис 401  ;russotra@russotra.ru;http://www.russotra.ru;+74952342811;Not Data
Рускон;ООО; Новороссийск,   с.Кирилловка, 2-я ж.д. петля,,     помещение  ;secretary@ruscon.global;http://www.ruscon.global;+78617678000;Not Data
Ассоциация НО  Русская интермодальная логистическая ассоциация;НО; Нижний Новгород,   Верхне-Волжская наб.,   дом 8/59,    помещение  ;president@logovolga.ru;http://www.logovolga.ru;+8312758600;Not Data
Райнотранс Эдженси;ООО; Москва,   Ленинградский пр-т,   дом 47,   строение 2,   помещение  ;rta@rhinotrans.com;http://www.rhinotrans.com;+74957819751;Not Data
РКК Логистика;ООО; Москва,   Береговой пр.,   дом 5,    корпус 1,  помещение  4  ;info@rcc-logistics.ru;http://www.ruscont.com;+74951999901;Not Data
РТЛ;ООО; Ростов  на Дону,   Закруткина ул,   дом 55/18,    помещение  офис 1-7  ;info@rtlltd.ru;http://www.rtlltd.ru;+78632181000;Not Data
СинМар;ООО; Москва,   2-я Синичкина,   дом 9,   строение 10,   помещение  ;smirnova.e@sinmarlogistic.ru;http//www.sinmarlogistic.ru;+74957886814;Not Data
Эс-Лайн Групп;ООО; Находка,   Внутрипортовая  ул.,   дом 17,    помещение  ;slinedir@vpnet.ru;http://www.slinegroup.ru;+74236665081;Not Data
Специальная логистическая компания;ООО; С-Петербург,   Оптовиков ул.,   дом 4,    помещение  ;info@speclog.ru;http://www.speclog.ru;+78126795909;Not Data
САСКО Навигатор;ООО; Москва,   Вишневая ул,   дом 9,    помещение  ;office@sasco-navigator.ru;http://www.sasco-navigator.ru;+74952044411;Not Data
Спутник;ООО; Хабаровск а,я 167,      помещение  ;8914176800@mail.ru;Not Data;+74212941097;Not Data
СахРефТранс;ООО; Южно-Сахалинск,   Ленина,   дом 440А лит Ф,    помещение  ;mng@sakhreftrans.ru;http://www.sakhreftrans.ru;+74242312191;Not Data
СпецТяж Логистик;ООО; С-Петербург а/я 49,      помещение  ;info@st-logistic.spb.ru;http://www.st-logistic.spb.ru;+78124250133;Not Data
СТА Логистик;ООО; Москва,   Бутырская ул.,   дом 77,    помещение  Этаж 10  ;sta@stalogistic.com;Not Data;+74956209909;Not Data
СИ МЕТРИЯ ЛОГИСТИК;ООО; Екатеринбург а/я 718,      помещение  ;info@seametria.ru;http://www.seametria.ru;+73433795257;Not Data
СТОУН-ЛОГИСТИКА;ООО; Москва,   Нагатинская ул.,   дом 1,   строение 2,   помещение  8  ;info@fast-gruz.ru;http://www.fast-gruz.ru;+74955454145;Not Data
Совфрахт;ОАО; Москва,   Олимпийский пр-т,   дом 15,    помещение  ;general@sovfracht.ru;http://www.sovfracht.ru;+74957211976;Not Data
Судовое Агентство Бриз;ООО; Новороссийск,   Энгельса ул.,   дом 7,    помещение  офис 204  ;agency@breeze-agency.ru;http://breeze-agency.ru;+79528383123;+79528383123
СМАРТ ЛОГИСТИКС ИНТЕРНЕШЕНЕЛ;ООО; С-Петербург,   Маршала Говорова ул. 35/5 лит Ж,   дом а/я 108,    помещение  236  ;cs@slogint.ru;http://www.slogint.ru;+78126481146;Not Data
СТОГРУЗ;АО; Москва,   Балакиревский пер.,   дом 1А,    помещение  ;welcome@stogruz.ru;http://www.stogruz.ru;+74952323989;Not Data
Трансконтейнер;ПАО; Москва,   Оружейный пер.,   дом 19,    помещение  ;trcont@trcont.com;http://www.trcont.com;+74957881717;Not Data
Трансмастер;Not data; С-Петербург,   Измайловский пр.,   дом 29 лит И,    помещение  13Н  ;info@transmasters.ru;Not Data;+78124482308;Not Data
Транспортная Логистическая Компания;ООО; Новороссийск,   Сенная ул.,   дом 12,    помещение  ;ababarykin@tlc.nvr.ru;Not Data;+79881311509;+79881311509
ТРАНСКОНТИНЕНТАЛЬГРУПП;ООО; Иваново,   пр. Строителей,   дом 94,    помещение  159  ;tcg-iv@mail.ru;http://www.teg-msc.ru;+74932496260;Not Data
Трейд-Транс;ООО; Новосибирск а/я 231,      помещение  ;trade-trans@trade-trans.ru;http://www.trade-trans.u;+73832330770;Not Data
ТЕОРА;ООО; С-Петербург,   Галерная ул.,   дом 73 лит А,    помещение  1-н офис 406,407  ;tejra@tejra.group;http://www.teoragroup.;+78126071706;Not Data
ТЛК ВЛ Лоджистик;ООО; Владивосток,   Муравьева-Амурского кл.,   дом 1Б,    помещение  ;vlad@vll.v-lazer.com;http://www.vl-logistic.ru;+78001000365;Not Data
ТИС Групп;ООО; С-Петербург,   Маршала Говорова ул.,   дом 35 лит А,    помещение  23-Н офис 620  ;sales@tis-spb.ru;http://www.tis-spb.com;+78127402022;Not Data
ТРАНС СИНЕРГИЯ;ООО; Москва,   Цветной б-р,   дом 7,   строение 11,   помещение  ;info@transsin.ru;"http;//transsin.ru";+74952690454;Not Data
Тис Лоджистик;ООО; Владтвосток,   Красного Знамении пр-т,   дом 73,    помещение  офис 6  ;info@tis-logistic.ru;Not Data;+74232614888;Not Data
ТФМ;ООО; Владивосток,   Леонова ул.,   дом 27,    помещение  ;tfm@tfm.su;http://wwwtfm.su;+74232495151;Not Data
ТРАНССТРОЙГРУПП;ООО; Москва а/я 380,      помещение  ;info@transtroy.group.ru;http://transtroy.group.ru;+74992887181;Not Data
ТрансЛес;ООО; Москва,   Верхняя Красносельская ул.,   дом 16,    помещение  ;info@transles.biz;http://www.transles.ru;+74957716038;Not Data
Транс Ванино Карго;ООО; Ванино пгт.,   Волжская,   дом 1,    помещение  этаж 2  ;tshengelia@tvcargo.ru;http://www.tvcargo.ru;+74213770720;Not Data
Траско;ООО; п/о Архангельское,   Ильинское ш. 4-й км,    строение 8,   помещение  ;info@trasco.ru;hhtp://www.trasco.ru;+74955648714;Not Data
ТБСС;ООО; Москва,   Смольная ул.,   дом 12,    помещение  ;tbss@tbss.ru;http://www.tbss.ru;+74952232999;Not Data
Трансейф Лоджистикс;ООО; Москва,   Ракетный бул.,   дом 16,    помещение  офис 1604  ;nikolay@transafe.ru;http://www.transafe.ru;+74959333660;Not Data
ТМБС Лоджистикс;Not data; Новороссийск,   Лейтенанта Шмидта,   дом 39,    помещение  офис 10  ;info@tmbc1.ru;http://www.tmbc1.ru;+78617765888;Not Data
Урал-Контейнер;Закрытое акционерное общество; Екатеринбург,   Верх-Исетский бульвар,   дом 7,    помещение  603  ;mail@ucont.ru;http://www.ucont.ru;+7343213505;Not Data
Универсальный экспедитор;Not data; Москва,   4-й Добрынинский переулок,   дом 8,    помещение  ;info@unfc.ru;http://www.unfc.ru;+74957753607;Not Data
УглеМетТранс;ООО; Новороссийск,   Энгельса ул.,   дом 7,    помещение  ;umt@eig.ru;Not Data;+78617301349;Not Data
Фрио Логистик;ООО; Домодедово  Центральный мкр,   Трио-Инвест-Ям территории,    строение 4,   помещение  ;a.sabirov@agrohold.ru;http://www.miratorg.ru;+74956519252;Not Data
ФЕСКО Интегрированный Транспорт;ООО;" Москва,   Пресненская набережная,   дом 6,   строение 2,   корпус Башня ""Империя! Москва сити,  помещение  7 этаж  ";atemnikova@fesco.com;http://www.fesco.com;+74957300110;Not Data
Финтранс ГЛ;ООО; С-Петербург,   Можайская ул.,   дом 17,    помещение  ;info@fintransgl.ru;http://www.fintransgl.ru;+78123320248;Not Data
Фортис;ООО; С-Петербург,   Ленинский пр-т,   дом 160 литера А,    помещение  офис 313  ;info@phortis.com;http://www.phortis.com;+78126775520;Not Data
ФЭТЭКСИМ;ЗАО; Владивосток,   Стрельникова ул.,   дом 3-Б,    помещение  а/я 90-311  ;fetexim@fetexim.ru;http://www.fetexim.ru;+74232795749;Not Data
Фарко;ООО; Новороссийск,   а/я 10,     помещение  ;farco@farcom.ru;Not Data;+78617601844;Not Data
Фарид Компани 94.19;ООО;" Братск  Жилой район ""Центральный"",   Южная ул.,   дом 39,    помещение  ";boss@faridcompany.ru;Not Data;+79148889419;+79148889419
Цюст и БахмайерПроект;ООО; С-Петербург а\я 13,      помещение  ;zamyatin@zbproject.de;http://www,universal-transport.com;+78122924069;Not Data
Эстив;ООО; Владивосток,   Стрельников ул.,   дом 9,    помещение  ;estiv@estiv.ru;http://www.estiv.ru;+74232302999;Not Data
ЮТЭК;ООО; Ростов на Дону,   Социалистическая ул.,   дом 74,    помещение  610  ;info@negabarit61.ru;http://www.negabarit61.ru;+78632001610;Not Data
Евразия Логистика»;Общество с ограниченной ответственностью; Москва,   Нижняя Красносельская,   дом 39,   строение 1,   корпус  ,  помещение  30,31  ;info@eurasialog.ru; ;+74993980867;Not Data
ООО Корпорация АК ЭСКМ;Общество с ограниченной ответственностью ; Краснодар,   Трамвайная,   дом 5,    помещение  ;eskm@mail.ru;http://eskm.net;(861)200-77-88;Not Data
СОЮЗХИМТРАНС ИНТЕРНЕШИНЕЛ;ООО; С-Петербург,   Маршала Говорова ул.,   дом 48,    помещение  ;commerce@sktint.com;http://www,sktint.com;+78126001001;Not Data
